sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.18412382900714874,0.38146671652793884,8.727324067780375,0.4968327538572106,0.3722415112531807,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.13799887895584106,0.34185928106307983,14.445495407754201,0.5719880906011208,0.27634578571067,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.09147083014249802,0.4537443220615387,12.989282217715319,0.3768438473138056,0.26425266573301337,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.19781111180782318,0.40711072087287903,7.714985734544559,0.5257619560161182,0.38386564336659384,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.15688569843769073,0.3165283799171448,13.44681736932003,0.5645465796878094,0.29220147383119316,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.15252530574798584,0.45160913467407227,10.984866366782564,0.41047672704698734,0.35840367326985356,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.39351221919059753,0.1800372451543808,7.356698574887385,0.6953413691689406,0.5224484741481406,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.29066815972328186,0.11146900802850723,10.998681032854282,0.3929004111131138,0.26044223928824145,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.2639544904232025,0.16375619173049927,9.903642314697777,0.3464658796945395,0.14518915751067674,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.5200850367546082,0.18258795142173767,5.8243208205471,0.767252696564245,0.5614806049461516,2912,56,119
