sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|composite,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.2007111757993698,0.36010003089904785,8.925176483634853,0.33861785230256136,0.3357470264925273,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.13738292455673218,0.5084125399589539,15.468070704963033,0.5322492691077232,0.18424467445639642,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|hist,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.1282874047756195,0.4624277651309967,12.476149922095153,0.33309007705491156,0.20866121839086396,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|composite,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.2157275378704071,0.36021625995635986,7.682429763511007,0.38951766842198465,0.3410104177503984,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.15704692900180817,0.4940912127494812,14.021631447913915,0.5395991331161396,0.19668590518451975,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|hist,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.13196562230587006,0.46827515959739685,11.243469242508343,0.3584253109543279,0.2605612580836848,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|composite,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.33257168531417847,0.17070476710796356,7.250225446701157,0.7185583473614817,0.5477566791836552,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.20611177384853363,0.18456503748893738,11.796901315888288,0.5015427840670899,0.3912234292921902,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|hist,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.2892015278339386,0.2651814818382263,10.70093738780951,0.3367747425911007,0.23795099078451337,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_silver|composite,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_silver,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.38332486152648926,0.1685626208782196,5.728696207273426,0.7393926927945246,0.5640450734091954,2739,84,107
