sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|composite,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.2856912314891815,0.3033451735973358,2.9397416012335325,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.15684854984283447,0.3829819858074188,10.508963891936345,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|hist,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.22744552791118622,0.39433756470680237,6.670787570935907,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|composite,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.29670464992523193,0.32406774163246155,1.9741343430037332,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.18546772003173828,0.33943480253219604,9.526110598943106,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|hist,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.2411636859178543,0.36123237013816833,4.73204804707954,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|composite,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.15467897057533264,0.12483346462249756,2.2494122536253904,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.15565797686576843,0.11916958540678024,6.447080689759722,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.17902694642543793,0.13346445560455322,6.016760650798105,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.18991973996162415,0.13391157984733582,0.7677813043854322,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_silver|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_silver,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.1768283247947693,0.061009347438812256,5.59509244885205,1908,54,99
