sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.17178791761398315,0.38146671652793884,3.9561114902490173,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.13160854578018188,0.34185928106307983,9.67428279430776,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.10039364546537399,0.4537443220615387,8.218069587609744,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.19963601231575012,0.40711072087287903,2.9437731463255856,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.15575480461120605,0.3165283799171448,8.67560470697314,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.1950860619544983,0.45160913467407227,6.213653853803043,1740,46,111
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.16400662064552307,0.1800372451543808,2.585485852282301,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.16321948170661926,0.11146900802850723,6.227468536375271,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.19173705577850342,0.16375619173049927,5.132429827782001,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.2267935574054718,0.18258795142173767,1.053108425609538,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_silver|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_silver,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.20061877369880676,0.09642965346574783,5.624793714825139,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_golden-ring-test_silver|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_golden-ring-test_silver,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.22258299589157104,0.11341318488121033,3.2591617007968003,2912,56,119
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.1691177636384964,0.20694449543952942,2.784283594448759,2883,77,117
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.21021491289138794,0.19195842742919922,7.136635839080556,2883,77,117
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|hist,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,hist,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_hist.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.22216323018074036,0.29012197256088257,6.201744783749131,2883,77,117
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_riccardoferrari-ring_silver|composite,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_riccardoferrari-ring_silver,composite,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver_composite.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver/cinema_hall_4k_059_mask_restored.png,0.19605332612991333,0.24291758239269257,1.3319161822359582,2883,77,117
aged-hand_choose_rotate|cinema_hall_4k|aged-hand_riccardoferrari-ring_silver|diffusion,aged-hand_choose_rotate,cinema_hall_4k,aged-hand_riccardoferrari-ring_silver,diffusion,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver/cinema_hall_4k_059_mask_restored.png,0.24226084351539612,0.12027408927679062,5.700616603400203,2883,77,117
